Year,Team,Wins
1994,Williams,0
1995,Williams,1
1996,McLaren,0
1997,McLaren,2
1998,McLaren,1
1999,McLaren,2
2000,McLaren,3
2001,McLaren,2
2002,McLaren,1
2003,McLaren,1
2004,McLaren,0
2005,Red Bull,0
2006,Red Bull,0
2007,Red Bull,0
2008,Red Bull,0
