Year,NbTeams,NbRaces,AGS,Arrows,BAR,Benetton,BMW Sauber,Brabham,Brawn,Caterham,Coloni,Dallara,Ferrari,Fondmetal,Footwork,Force India,Forti,Honda,HRT,Jaguar,Jordan,Lambo,Larrousse,Leyton House,Ligier,Lola,Lotus,Lotus F1,March,Marussia,McLaren,Mercedes,MF1,Minardi,Pacific,Prost,Red Bull,Renault,Sauber,Simtek,Spyker,Spyker MF1,Stewart,Super Aguri,Team Lotus,Toro Rosso,Toyota,Tyrrell,Virgin,Williams
1991,19,16,0,NA,NA,1,NA,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,7
1992,15,16,NA,NA,NA,1,NA,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,10
1993,13,16,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,5,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,10
1994,14,16,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,7
1995,13,13,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,5
1996,11,16,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,12
1997,12,17,NA,0,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,3,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,8
1998,11,16,NA,0,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0
1999,11,16,NA,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0
2000,11,17,NA,0,0,0,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2001,11,17,NA,0,0,0,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2002,11,17,NA,0,0,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,Na,NA,1,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1
2003,10,16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4
2004,10,18,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1
2005,10,19,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,0,NA,NA,0,8,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0
2006,12,18,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,8,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,0
2007,11,17,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,0
2008,11,18,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,8,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,0,NA,1,0,NA,NA,0
2009,10,17,NA,NA,NA,NA,0,NA,8,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0
2010,12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,5,0,NA,NA,NA,NA,9,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0
2011,12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,6,0,NA,NA,NA,NA,12,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0
2012,12,20,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,7,1,NA,NA,NA,NA,7,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1
